,Unnamed: 0,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,label
11,11,1512287628007452673,1512287628007452673,1649392442000.0,2022-04-08 11:34:02,700,,🔴 ศึกตามหาสมาชิกใหม่ @ShrimpmerTwit เข้มข้น    สนใจทัก INBOX  🔗  https://t.co/IICoGy1co8 ได้มาเลย   #FindingNewShrimp #ShimmerShrimpmer #IdolGaze #เลือกตั้งผู้ว่ากทม #เลือกตั้งผู้ว่าฯ65 #ผู้ว่ากทม  https://t.co/sRO3Nvlvvp,th,"['findingnewshrimp', 'shimmershrimpmer', 'idolgaze', 'เลือกตั้งผู้ว่ากทม', 'เลือกตั้งผู้ว่าฯ65', 'ผู้ว่ากทม']",[],1471726055782158345,1471726055782158345,ShrimpmerTwit,ShimmerShrimpmer,5,11,https://twitter.com/ShrimpmerTwit/status/1512287628007452673,['https://m.me/ShimmerShrimpmer'],['https://pbs.twimg.com/media/FPy5InbagAEtPDX.jpg'],1,https://pbs.twimg.com/media/FPy5InbagAEtPDX.jpg,False,9,1,10,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
12,12,1512281402422693888,1512281402422693888,1649390957000.0,2022-04-08 11:09:17,700,,ผลงานผู้ว่าคนเดิมก็ดีนะ   #ผู้ว่ากทม  https://t.co/uQk9aLaOQT,th,['ผู้ว่ากทม'],[],1336523647775698944,1336523647775698944,lLeeYeonl,อียอน ( 이연 ),5,11,https://twitter.com/lLeeYeonl/status/1512281402422693888,[],['https://pbs.twimg.com/media/FPyzurkUcAE074i.jpg'],1,https://pbs.twimg.com/media/FPyzurkUcAE074i.jpg,False,13,0,7,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
13,13,1512280087210737695,1512280087210737695,1649390644000.0,2022-04-08 11:04:04,700,,อย่าเชื่อว่าจะมีอะไรที่ทำไม่ได้ มีแต่ทำได้ และคนที่เชื่อมั่นว่าทุกอย่างเป็นไปได้คือคนที่มีวิสัยทัศน์และความมุ่งมั่นมากกว่าคนที่เชื่อว่าทำไม่ได้แน่นอน..........#วิโรจน์เบอร์1 #วิโรจน์ผู้ว่ากทม #ผู้ว่ากทม,th,"['วิโรจน์เบอร์1', 'วิโรจน์ผู้ว่ากทม', 'ผู้ว่ากทม']",[],1533218334,1533218334,TRedrock,Thai Redrock,5,11,https://twitter.com/TRedrock/status/1512280087210737695,[],[],0,,False,9,0,7,https://twitter.com/su4645444/status/1512085206408515584,#ผู้ว่ากทม,,,,,,,[],,,,,politics
14,14,1512279066774147076,1512279066774147076,1649390400000.0,2022-04-08 11:00:00,700,,คอลัมน์ Apocalypse now โดย ‘โตมร ศุขปรีชา’ พาไปรู้จักผู้ว่าฯ ระดับท็อปของโลก คุณสมบัติแบบไหนล่ะถึงจะได้รับการเชิดชูจาก The World Mayor Project  อ่านบทความได้ที่  https://t.co/JLULGaD5ea  #ผู้ว่ากทม  https://t.co/4CjMHHhR0J,th,['ผู้ว่ากทม'],[],730332919516958721,730332919516958721,thematterco,The MATTER,5,11,https://twitter.com/thematterco/status/1512279066774147076,['https://thematter.co/thinkers/9-the-world-mayor-project/172145'],['https://pbs.twimg.com/media/FPyZBNuaMAQZtf-.jpg'],1,https://pbs.twimg.com/media/FPyZBNuaMAQZtf-.jpg,False,7,0,9,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
15,15,1512273628360249347,1512273628360249347,1649389104000.0,2022-04-08 10:38:24,700,,ศิธา เผยถ้าได้เป็น #ผู้ว่ากทม อย่างแรกจะขอทดสอบระบบระบายน้ำทั้งหมด แย้มโมเดลเพิ่มพื้นที่สีเขียว อาจได้มาก10-100เท่าของสวนลุม ยกตัวอย่างเคยสร้างสนามจักรยานติดTop3 โลก จากที่รกร้างโดยรัฐไม่ต้องควักสักบาท ย้ำพรรคไทยสร้างไทยจะทำให้เมืองโอบรับคนรุ่นใหม่ สร้างnew economy ต่อยอด startup  https://t.co/h56joE0eS3,th,['ผู้ว่ากทม'],[],1385084873686192130,1385084873686192130,thaisangthai,พรรคไทยสร้างไทย,5,10,https://twitter.com/thaisangthai/status/1512273628360249347,[],['https://pbs.twimg.com/media/FPys2JlacAAni-6.jpg'],1,https://pbs.twimg.com/media/FPys2JlacAAni-6.jpg,False,37,1,24,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
16,16,1512254963157958657,1512254963157958657,1649384654000.0,2022-04-08 09:24:14,700,,"วันนี้ 10 โมง ขอเชิญรับชมการถ่ายทอดสดงานเสวนา ผู้สมัครผู้ว่ากทม. กับการบริหารจัดการขยะ น้ำ อากาศ และเมืองยั่งยืน ครั้งที่ 2  . 🌱🚮💦🌫️ “การจัดการน้ำเสียและขยะในกรุงเทพมหานคร”  . FB Live: Environmental Engineering, KMUTT  #กรุงเทพฉบับวิโรจน์ #ได้เวลาประชาชนเป็น1 #ผู้ว่ากทม  https://t.co/F9B2LUys9F",th,"['กรุงเทพฉบับวิโรจน์', 'ได้เวลาประชาชนเป็น1', 'ผู้ว่ากทม']",[],933004977903099904,933004977903099904,MoveNewGen,GenForTh25,5,9,https://twitter.com/MoveNewGen/status/1512254963157958657,[],['https://pbs.twimg.com/media/FPyb3qZakAIu8sy.jpg'],1,https://pbs.twimg.com/media/FPyb3qZakAIu8sy.jpg,False,10,0,7,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
17,17,1512115056305393665,1512115056305393665,1649351297000.0,2022-04-08 00:08:17,700,,'ชัชชาติ' ชงจัดโซน กทม.จัดม็อบได้ไม่เดือดร้อนคนอื่น 'เครื่องเสียง-รถสุขา'ต้องพร้อม  #VoiceOnline #ชัชชาติ #กรุงเทพมหานคร #ผู้ว่ากทม   https://t.co/t6u7Zl8QyJ,th,"['voiceonline', 'ชัชชาติ', 'กรุงเทพมหานคร', 'ผู้ว่ากทม']",[],53864669,53864669,VoiceTVOfficial,Voice TV,5,0,https://twitter.com/VoiceTVOfficial/status/1512115056305393665,['https://www.voicetv.co.th/read/3Q5A_8vVG'],[],0,,False,130,7,93,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
18,18,1512084689632202756,1512084689632202756,1649344057000.0,2022-04-07 22:07:37,700,,อย่าแถมากนะคะทั่นว่าที่ #ผู้ว่ากทม ระวังถุงแกงหล่นแตกนะคะ .. ว่าด้วยการหาเสียงอย่าเอามันส์อย่างเดียว มันต้องถูกต้องและชัดเจนตั้งแต่แรกด้วยค่ะ 👌😁,th,['ผู้ว่ากทม'],[],1135887200,1135887200,Kea_New,K. Sakhulhong 💛🇹🇭💛,4,22,https://twitter.com/Kea_New/status/1512084689632202756,[],[],0,,False,9,1,3,https://twitter.com/GiJOE2538/status/1512083227795931137,#ผู้ว่ากทม,,,,,,,[],,,,,politics
19,19,1512044416449789953,1512044416449789953,1649334455000.0,2022-04-07 19:27:35,700,,เพื่อนๆ คนกลางๆ หลายคนที่ไม่สนใจการเมืองเท่าไหร่ วันๆ ทำงาน วันๆ เลี้ยงลูก วันๆ ดูละคร เค้ากลัวคนบ้าๆ จะได้เป็น #ผู้ว่ากทม เค้าเลยจะเทคะแนน ถามไปถามมามี 2 คนหลักๆ ที่เค้าส่องๆ แล้ว ไม่น่าจะบ้า   บ้าคือแบบ สุดโต่ง หรืออวดตัวเองจนเพี้ยน  ..ผลก็คือ ไม่เบอร์ 6 ก็เบอร์ 8,th,['ผู้ว่ากทม'],[],59753837,59753837,NochPH,ณช - Noch,4,19,https://twitter.com/NochPH/status/1512044416449789953,[],[],0,,False,147,8,41,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
20,20,1512026228815204356,1512026228815204356,1649330119000.0,2022-04-07 18:15:19,700,,#เฮียจิ๋วโอเคเบอร์3 มาแว้ววว  รักเฮียจิ๋ว ต้องเบอร์ 3 โอเค๊😘👌  #ผู้ว่ากทม  #ทีมศิธาเบอร์11 #พีร์โรจนดารา #จิ๋วภาษีเจริญ #คิดไวทำไว  https://t.co/owxIwLJqT9,th,"['เฮียจิ๋วโอเคเบอร์3', 'ผู้ว่ากทม', 'ทีมศิธาเบอร์11', 'พีร์โรจนดารา', 'จิ๋วภาษีเจริญ', 'คิดไวทำไว']",[],1466670533135589376,1466670533135589376,PRojanadara,ดร. พีร์ โรจนดารา (เฮียจิ๋ว),4,18,https://twitter.com/PRojanadara/status/1512026228815204356,[],['https://pbs.twimg.com/media/FPvL1zMakAU_HQd.jpg'],1,https://pbs.twimg.com/media/FPvL1zMakAU_HQd.jpg,False,7,0,4,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
21,21,1512000543631474688,1512000543631474688,1649323995000.0,2022-04-07 16:33:15,700,,เราจะไว้ใจผู้สมัครที่มาจากเครือข่ายของทุนใหญ่ด้านอสังหาฯ ให้มาเป็น #ผู้ว่ากทม เมืองที่ซอยแคบ เมืองแห่งซอยตัน ได้หรือไม่!?   อีกจุดยืนหนึ่งที่ต้องถามผู้สมัครคือ ..เอาไงกับการสร้างตึกสูง คอนโดสูง ในซอยแคบ !?,th,['ผู้ว่ากทม'],[],59753837,59753837,NochPH,ณช - Noch,4,16,https://twitter.com/NochPH/status/1512000543631474688,[],[],0,,False,47,4,28,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
22,22,1511974539420475394,1511969038041288705,1649317795000.0,2022-04-07 14:49:55,700,,นโยบายแบบย่อปังๆ ผู้ว่ากทมแบบของ #วิโรจน์ หากรับตำแหน่งจะเปิดสัญญาสัมปทานบีทีเอสทันที ทุกคนไม่อยากรู้หรอว่าทำไมเราต้องจ่ายค่าบีทีเอสแพงๆ เปลี่ยนสายยิ่งแพง ทำไมไม่ทำแบบโซน หรือใช้ตั๋วแบบร่วมกับรถเมล์ และรถไฟใต้ดินไม่ได้ #เมืองที่คนเท่ากัน #ผู้ว่ากทม   https://t.co/azrqRxJSOg,th,"['วิโรจน์', 'เมืองที่คนเท่ากัน', 'ผู้ว่ากทม']",[],1107682709189611520,1107682709189611520,happyaliceee,สลิ่มเฟส3🌼,4,14,https://twitter.com/happyaliceee/status/1511974539420475394,['https://twitter.com/LGinlove/status/1511594057885126656?t=jnCyQe33Nmy5-LEKqU2MXQ&s=19'],[],0,,False,8,1,2,https://twitter.com/LGinlove/status/1511594057885126656?t=jnCyQe33Nmy5-LEKqU2MXQ&s=19,#ผู้ว่ากทม,,,,,,,[],,,,,politics
23,23,1511971576941535234,1511969038041288705,1649317089000.0,2022-04-07 14:38:09,700,,ขอแสงส่องไปยังนโยบายคุณวิโรจน์ เอาจริงนโยบายไม่ต้องแยะแยะ ทุกคนรู้ปัญหากทม.ดี แต่ไอ้ปัญหาที่เราเห็นอยู่ตรงหน้า ยังขาดคนกล้า ขาดคนที่เป็นเดือดเป็นร้อนแทน ขาดคนจัดการเมืองให้เป็น #เมืองที่คนเท่ากัน เมืองของทุกคนทุกชนชั้น #ผู้ว่ากทม ส่งกำลังใจให้ #คุณวิโรจน์   https://t.co/grpi17ObJU,th,"['เมืองที่คนเท่ากัน', 'ผู้ว่ากทม', 'คุณวิโรจน์']",[],1107682709189611520,1107682709189611520,happyaliceee,สลิ่มเฟส3🌼,4,14,https://twitter.com/happyaliceee/status/1511971576941535234,['https://twitter.com/wirojlak/status/1508399446501261316?t=Y6LrijhY8gcIYOjjmz4vKA&s=19'],[],0,,False,10,2,4,https://twitter.com/wirojlak/status/1508399446501261316?t=Y6LrijhY8gcIYOjjmz4vKA&s=19,#ผู้ว่ากทม,,,,,,,[],,,,,politics
24,24,1511969038041288705,1511969038041288705,1649316484000.0,2022-04-07 14:28:04,700,,ขอเสียงคนที่ตั้งใจเลือก #วิโรจน์ หน่อยค่า ให้กำลังใจคุณวิโรจน์ แคนดิเดตจากพรรคฝ่ายค้านคนเดียวที่ลงพื้นที่ ชนปัญหารอบด้านที่ทุกคนรู้ดี แต่ไม่มีใครกล้าแตะทั้ง ทวงคืนสนามหลวง โรงงานขยะอ่อนนุช ศาลเจ้าแม่ทับทิม ช่วยกันดันคุณวิโรจน์สร้างกรุงเทพฯ #เมืองที่คนเท่ากัน #ผู้ว่ากทม,th,"['วิโรจน์', 'เมืองที่คนเท่ากัน', 'ผู้ว่ากทม']",[],1107682709189611520,1107682709189611520,happyaliceee,สลิ่มเฟส3🌼,4,14,https://twitter.com/happyaliceee/status/1511969038041288705,[],[],0,,False,240,16,93,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
25,25,1511929084372480002,1511929084372480002,1649306958000.0,2022-04-07 11:49:18,700,,บางคน ร้อยวันพันปี มีแต่ไปเที่ยวนั่นเที่ยวนี่ ทำธุรกิจของตัวเอง สารพัดสารเพ แทบไม่เคยทำอะไรเพื่อสังคมใดๆเลย ไม่เคยมาสัมผัสปัญหา แต่พอมีเลือกตั้ง ก็มาลงสมัคร เดินสายไหว้ประชนชนหัวผงกๆ ประหลาดดี   #วงการบันเทิง 🙄 #ผู้ว่ากทม #สก,th,"['วงการบันเทิง', 'ผู้ว่ากทม', 'สก']",[],734939120452042754,734939120452042754,pekae_tws,IG : PEKAE_TWS,4,11,https://twitter.com/pekae_tws/status/1511929084372480002,[],[],0,,False,17,0,0,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
26,26,1511909268529639425,1511909268529639425,1649302234000.0,2022-04-07 10:30:34,700,,"คำว่า ""มารยาท"" สะกดเป็นมั๊ย นี่หรอคนที่จะมาเป็นผู้นำคนกรุงเทพฯ  #ก้าวไกล #ผู้ว่ากทม #การเมือง #รัฐบาล  https://t.co/f6IgS4uQOe",th,"['ก้าวไกล', 'ผู้ว่ากทม', 'การเมือง', 'รัฐบาล']",[],1417385993930301442,1417385993930301442,e22_ee22,เป็ง🌑,4,10,https://twitter.com/e22_ee22/status/1511909268529639425,[],['https://pbs.twimg.com/media/FPthd4MVgAQYbwj.jpg'],1,https://pbs.twimg.com/media/FPthd4MVgAQYbwj.jpg,False,35,13,6,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
27,27,1511901063556698118,1511901063556698118,1649300277000.0,2022-04-07 09:57:57,700,,การที่มีผู้สมัคร #ผู้ว่ากทม บางท่าน บอกว่าไม่ฉีดวัคซีนเพื่อทดลองความสามารถของสมุนไพร เราเคารพสิทธิในร่างกายผู้อื่น แต่ในกลุ่มเสี่ยงสุขภาพ การฉีดวัคซีนจำเป็นมาก เพื่อป้องกันการสูญเสีย รวมถึงการลดค่าใช้จ่ายในรักษาผู้เป็นหนัก ซึ่งรักษานานและราคาสูง ใช้บุคลากรการแพทย์เยอะ #โควิด19  https://t.co/Klp334Tuak,th,"['ผู้ว่ากทม', 'โควิด19']",[],68710262,68710262,DrSuwadee,ดร.นิค ไม่ได้เป็นหมอฯ,4,9,https://twitter.com/DrSuwadee/status/1511901063556698118,[],['https://pbs.twimg.com/media/FPtaAFJVsAIo6Zu.jpg'],1,https://pbs.twimg.com/media/FPtaAFJVsAIo6Zu.jpg,False,47,2,56,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
28,28,1511878556724342793,1511878556724342793,1649294911000.0,2022-04-07 08:28:31,700,,รมว.คมนาคม รบ.ที่ผ่านมามัวเอาเวลาไปหาซื้อแกงค่ะ เห็นหิ้วถุงแกงสร้างภาพจำว่าเป็นคนติดดิน แต่ผลงานเพื่อชาติเพื่อประชาชนหาไม่เจอค่ะ #ผู้ว่ากทม,th,['ผู้ว่ากทม'],[],1135887200,1135887200,Kea_New,K. Sakhulhong 💛🇹🇭💛,4,8,https://twitter.com/Kea_New/status/1511878556724342793,[],[],0,,False,9,1,2,https://twitter.com/jitkasame/status/1510429513100185601,#ผู้ว่ากทม,,,,,,,[],,,,,politics
29,29,1511873015159857154,1511873015159857154,1649293590000.0,2022-04-07 08:06:30,700,,ดูน่าสนุก “ดู reaction แรก” นะคะ มันคือตัวตนที่แท้จริง  (มีแอคติ้งเว่อร์ๆคนนึง คนประดิษฐ์มันมันก็ประดิษฐ์อ่ะเนอะ แม้กระทั่งกิริยาตื่นเต้นก็สามารถประดิษฐ์ได้)  เลือก #ชัชชาติ #วิโรจน์ #ผู้ว่ากทม #ผู้ว่ากรุงเทพ     https://t.co/4BvKCtr2vu,th,"['ชัชชาติ', 'วิโรจน์', 'ผู้ว่ากทม', 'ผู้ว่ากรุงเทพ']",[],2944197248,2944197248,DrBorisutH,Dr Borisut Hanpanich,4,8,https://twitter.com/DrBorisutH/status/1511873015159857154,[],[],1,https://pbs.twimg.com/media/FPoaE-PVIAco61Q.jpg,False,14,1,34,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
30,30,1511866536474345472,1511866536474345472,1649292046000.0,2022-04-07 07:40:46,700,,ปัญหามันอยู่ที่”คนมันไม่น่าเลือก”ไม่ใช่ชนิดของป้าย   เรียนเชิญมวลชนเลือก 💚 #ชัชชาติ #ชัช8าติ 🍊 #วิโรจน์ #ก้าวไกล   #ผู้ว่ากทม #ผู้ว่ากรุงเทพ   เราเลือกเพื่อเปลี่ยนคุณภาพชีวิตของเราให้ดีขึ้น และนำไปสู่การเปลี่ยนในรอบเลือกตั้งระดับประเทศ  จะเอา ปชป.เหรอ?    https://t.co/QaWBQBcegQ,th,"['ชัชชาติ', 'ชัช8าติ', 'วิโรจน์', 'ก้าวไกล', 'ผู้ว่ากทม', 'ผู้ว่ากรุงเทพ']",[],2944197248,2944197248,DrBorisutH,Dr Borisut Hanpanich,4,7,https://twitter.com/DrBorisutH/status/1511866536474345472,[],[],1,https://pbs.twimg.com/amplify_video_thumb/1511640418899103746/img/d_AdEtCn7ut_EyHH.jpg,False,6,0,5,,#ผู้ว่ากทม,,,,,,,[],,,,,politics
